GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_region_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CHTF18	ENSG00000127586	ENST00000631357	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000262318	protein_coding	0	0	0	25	0	0	0	0	0	25	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000382745	protein_coding	0	0	0	25	0	0	0	0	0	25	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000448525	protein_coding	0	0	0	25	0	0	0	0	0	25	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000561665	retained_intron	0	0	0	19	0	0	0	14	0	5	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000563642	retained_intron	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	4
CLCN7	ENSG00000103249	ENST00000563822	retained_intron	0	0	0	20	0	0	0	4	0	4	0	6	0	0	0	0	6
CLCN7	ENSG00000103249	ENST00000564568	protein_coding	0	0	0	19	0	0	0	14	0	5	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000564968	retained_intron	0	0	0	19	0	0	0	4	0	2	0	3	0	0	0	0	10
CLCN7	ENSG00000103249	ENST00000565092	retained_intron	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	4
CLCN7	ENSG00000103249	ENST00000566812	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000567139	retained_intron	0	0	0	19	0	0	0	14	0	5	0	0	0	0	0	0	0
CLCN7	ENSG00000103249	ENST00000567789	retained_intron	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	0	3
CLCN7	ENSG00000103249	ENST00000567836	retained_intron	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	1
CLCN7	ENSG00000103249	ENST00000569851	protein_coding	0	0	0	22	0	0	0	4	0	18	0	0	0	0	0	0	0
CLDN6	ENSG00000184697	ENST00000328796	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CLDN6	ENSG00000184697	ENST00000396925	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CLDN6	ENSG00000184697	ENST00000572154	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CLDN9	ENSG00000213937	ENST00000445369	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CRAMP1	ENSG00000007545	ENST00000293925	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
CRAMP1	ENSG00000007545	ENST00000397412	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	2
CRAMP1	ENSG00000007545	ENST00000415022	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CRAMP1	ENSG00000007545	ENST00000466562	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CRAMP1	ENSG00000007545	ENST00000467286	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CRAMP1	ENSG00000007545	ENST00000492778	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CRAMP1	ENSG00000007545	ENST00000498594	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	0	3	0	7	0	0	0	1	0	7	0	0	1	1	0	1	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	0	3	0	7	0	0	0	1	0	7	0	0	1	1	0	1	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0
CREBBP	ENSG00000005339	ENST00000571763	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000572569	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000574740	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000576720	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000635753	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000635919	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000636895	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000637492	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CTD-3126B10.1	ENSG00000261093	ENST00000562166	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CTD-3126B10.2	ENSG00000279162	ENST00000624546	TEC	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
DDX11L10	ENSG00000233614	ENST00000430178	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX11L10	ENSG00000233614	ENST00000513886	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
DECR2	ENSG00000242612	ENST00000219481	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000424398	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000437024	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000439661	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000445291	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000461802	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000627716	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000631605	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000633025	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000633348	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DECR2	ENSG00000242612	ENST00000633923	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DNASE1	ENSG00000213918	ENST00000246949	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000407479	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000570376	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000570520	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000570664	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000570769	nonsense_mediated_decay	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000570807	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000571460	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000572237	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000573804	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000575479	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000576050	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000576792	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
E4F1	ENSG00000167967	ENST00000301727	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0
E4F1	ENSG00000167967	ENST00000562589	nonsense_mediated_decay	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0
E4F1	ENSG00000167967	ENST00000563643	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
E4F1	ENSG00000167967	ENST00000564139	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0
E4F1	ENSG00000167967	ENST00000564930	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
E4F1	ENSG00000167967	ENST00000565090	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0
E4F1	ENSG00000167967	ENST00000565413	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0
E4F1	ENSG00000167967	ENST00000567111	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
E4F1	ENSG00000167967	ENST00000569796	retained_intron	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	5
ECI1	ENSG00000167969	ENST00000301729	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0
ECI1	ENSG00000167969	ENST00000561688	retained_intron	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0
ECI1	ENSG00000167969	ENST00000562238	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0
ECI1	ENSG00000167969	ENST00000563029	retained_intron	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0
ECI1	ENSG00000167969	ENST00000563447	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECI1	ENSG00000167969	ENST00000566379	protein_coding	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0
ECI1	ENSG00000167969	ENST00000570258	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
EEF2KMT	ENSG00000118894	ENST00000427587	protein_coding	0	0	0	10	2	0	0	5	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000458008	protein_coding	0	0	0	10	2	0	0	5	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000585436	nonsense_mediated_decay	0	0	0	10	1	0	0	6	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000585975	retained_intron	0	0	0	5	0	0	0	2	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000586444	retained_intron	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000587133	protein_coding	0	0	0	9	0	0	0	6	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000587161	nonsense_mediated_decay	0	0	0	9	0	0	0	6	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000587200	nonsense_mediated_decay	0	0	0	9	0	0	0	6	0	1	0	0	0	0	0	0	2
EEF2KMT	ENSG00000118894	ENST00000587608	retained_intron	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0
EME2	ENSG00000197774	ENST00000561564	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EME2	ENSG00000197774	ENST00000561903	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EME2	ENSG00000197774	ENST00000564182	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EME2	ENSG00000197774	ENST00000565326	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
EME2	ENSG00000197774	ENST00000568449	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
EME2	ENSG00000197774	ENST00000570069	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ENPP7P14	ENSG00000273963	ENST00000621765	unprocessed_pseudogene	0	0	0	12	0	0	0	4	0	8	0	0	0	0	0	0	0
FAHD1	ENSG00000180185	ENST00000382666	protein_coding	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1
FAHD1	ENSG00000180185	ENST00000382668	protein_coding	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1
FAHD1	ENSG00000180185	ENST00000427358	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	1
FAHD1	ENSG00000180185	ENST00000615972	protein_coding	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1
FAM173A	ENSG00000103254	ENST00000219535	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
FAM173A	ENSG00000103254	ENST00000564000	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
FAM173A	ENSG00000103254	ENST00000564640	retained_intron	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
FAM173A	ENSG00000103254	ENST00000566437	retained_intron	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
FAM173A	ENSG00000103254	ENST00000566525	retained_intron	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
FAM173A	ENSG00000103254	ENST00000568916	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
FAM173A	ENSG00000103254	ENST00000569529	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
FAM173A	ENSG00000103254	ENST00000570237	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
FLYWCH1	ENSG00000059122	ENST00000253928	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000344592	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000416288	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000570425	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000570752	processed_transcript	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000570759	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000571140	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000571580	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000571983	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
FLYWCH1	ENSG00000059122	ENST00000573525	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000573564	protein_coding	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000574985	retained_intron	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2
FLYWCH1	ENSG00000059122	ENST00000575604	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
FLYWCH1	ENSG00000059122	ENST00000575679	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2
FLYWCH2	ENSG00000162076	ENST00000293981	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1
FLYWCH2	ENSG00000162076	ENST00000396958	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1
FLYWCH2	ENSG00000162076	ENST00000572006	protein_coding	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
FLYWCH2	ENSG00000162076	ENST00000572786	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FLYWCH2	ENSG00000162076	ENST00000573965	protein_coding	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
GLYR1	ENSG00000140632	ENST00000321919	protein_coding	0	0	0	7	1	0	0	5	0	0	0	0	0	0	0	0	1
GLYR1	ENSG00000140632	ENST00000436648	protein_coding	0	0	0	7	1	0	0	5	0	0	0	0	0	0	0	0	1
GLYR1	ENSG00000140632	ENST00000587875	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GLYR1	ENSG00000140632	ENST00000587936	nonsense_mediated_decay	0	0	0	6	0	0	0	5	0	1	0	0	0	0	0	0	0
GLYR1	ENSG00000140632	ENST00000588297	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GLYR1	ENSG00000140632	ENST00000588732	nonsense_mediated_decay	0	0	0	7	1	0	0	5	0	0	0	0	0	0	0	0	1
GLYR1	ENSG00000140632	ENST00000589389	protein_coding	0	0	0	6	1	0	0	5	0	0	0	0	0	0	0	0	0
GLYR1	ENSG00000140632	ENST00000591451	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
GNG13	ENSG00000127588	ENST00000248150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GNPTG	ENSG00000090581	ENST00000204679	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0
GNPTG	ENSG00000090581	ENST00000526820	nonsense_mediated_decay	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
GNPTG	ENSG00000090581	ENST00000527076	retained_intron	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
GNPTG	ENSG00000090581	ENST00000527137	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GNPTG	ENSG00000090581	ENST00000527168	retained_intron	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0
GNPTG	ENSG00000090581	ENST00000527876	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
GNPTG	ENSG00000090581	ENST00000529110	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
GNPTG	ENSG00000090581	ENST00000529957	retained_intron	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0
GNPTG	ENSG00000090581	ENST00000534197	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
GRIN2A	ENSG00000183454	ENST00000330684	protein_coding	0	2	1	9	0	0	0	0	0	9	0	0	1	0	0	2	0
GRIN2A	ENSG00000183454	ENST00000396573	protein_coding	0	2	0	10	1	0	0	0	0	9	0	0	0	0	0	2	0
GRIN2A	ENSG00000183454	ENST00000396575	protein_coding	0	2	0	10	1	0	0	0	0	9	0	0	0	0	0	2	0
GRIN2A	ENSG00000183454	ENST00000461292	processed_transcript	0	0	0	11	0	0	0	0	0	9	0	2	0	0	0	0	0
GRIN2A	ENSG00000183454	ENST00000535259	protein_coding	0	2	0	9	0	0	0	0	0	9	0	0	0	0	0	2	0
GRIN2A	ENSG00000183454	ENST00000562109	protein_coding	0	2	1	9	0	0	0	0	0	9	0	0	1	0	0	2	0
GRIN2A	ENSG00000183454	ENST00000566683	processed_transcript	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0
GRIN2A	ENSG00000183454	ENST00000636273	processed_transcript	0	0	0	11	0	0	0	0	0	9	0	2	0	0	0	0	0
HAGH	ENSG00000063854	ENST00000397353	protein_coding	0	0	0	11	0	0	0	5	0	3	0	0	0	0	0	0	3
HAGH	ENSG00000063854	ENST00000397356	protein_coding	0	2	0	11	3	0	0	2	0	3	0	0	2	0	0	0	3
HAGH	ENSG00000063854	ENST00000455446	protein_coding	0	2	0	11	3	0	0	2	0	3	0	0	2	0	0	0	3
HAGH	ENSG00000063854	ENST00000564445	protein_coding	0	0	0	9	0	0	0	1	0	7	0	0	0	0	0	0	1
HAGH	ENSG00000063854	ENST00000564518	retained_intron	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3
HAGH	ENSG00000063854	ENST00000565097	retained_intron	0	0	0	6	0	0	0	2	0	1	0	0	0	0	0	0	3
HAGH	ENSG00000063854	ENST00000566644	protein_coding	0	0	0	7	0	0	0	2	0	3	0	0	0	0	0	0	2
HAGH	ENSG00000063854	ENST00000566709	protein_coding	0	0	0	11	0	0	0	5	0	3	0	0	0	0	0	0	3
HAGH	ENSG00000063854	ENST00000567190	retained_intron	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3
HAGH	ENSG00000063854	ENST00000567398	processed_transcript	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
HAGH	ENSG00000063854	ENST00000569339	protein_coding	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3
HAGH	ENSG00000063854	ENST00000569700	retained_intron	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3
HAGHL	ENSG00000103253	ENST00000341413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000389701	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000389703	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000549114	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000561546	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000561561	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000561750	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000562141	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000562187	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000563156	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000563792	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000564537	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000564545	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000567414	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000567696	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000568141	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000569143	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HAGHL	ENSG00000103253	ENST00000569385	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HBA1	ENSG00000206172	ENST00000320868	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HBA1	ENSG00000206172	ENST00000397797	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HBA1	ENSG00000206172	ENST00000472694	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HBA1	ENSG00000206172	ENST00000487791	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HBA2	ENSG00000188536	ENST00000251595	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HBA2	ENSG00000188536	ENST00000397806	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HBA2	ENSG00000188536	ENST00000482565	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
HBA2	ENSG00000188536	ENST00000484216	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
HBM	ENSG00000206177	ENST00000356815	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
HBM	ENSG00000206177	ENST00000472539	processed_transcript	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	2
HBM	ENSG00000206177	ENST00000496585	processed_transcript	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1
HBQ1	ENSG00000086506	ENST00000199708	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
HBZ	ENSG00000130656	ENST00000252951	protein_coding	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1
HBZP1	ENSG00000206178	ENST00000354915	unprocessed_pseudogene	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000248089	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000354679	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000572355	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000573095	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000573842	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000574151	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000574980	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000575214	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HCFC1R1	ENSG00000103145	ENST00000576921	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
HN1L	ENSG00000206053	ENST00000248098	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
HN1L	ENSG00000206053	ENST00000382710	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
HN1L	ENSG00000206053	ENST00000382711	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
HN1L	ENSG00000206053	ENST00000561516	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
HN1L	ENSG00000206053	ENST00000562569	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
HN1L	ENSG00000206053	ENST00000562684	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
